"method","diagnostic","state","observed_statistic","simulated_median","simulated_q025","simulated_q975","p_value","sharpness_value","sharpness_label","interpretation_label","n_sims","n_effective","warning","model","model_label"
"M1_one_state","ud_wasserstein",NA,19.0440247415151,19.8344545950969,15.8197980778673,27.4240523013127,0.61,0.58505537230469,"moderate","pass_moderate",99,99,"","M1_one_state","M1 one-state SSF"
"M1_one_state","msd",NA,1250090.09185081,98883.8131383408,2362.0114564701,1229663.21554214,0.02,1.38637373218299,"moderate","fail",99,99,"","M1_one_state","M1 one-state SSF"
"M1_one_state","sinuosity",NA,0.174531600090365,0.0113051833311899,0.000742217481460907,0.0286179317178831,0.01,1.48503903405826,"moderate","fail",99,99,"","M1_one_state","M1 one-state SSF"
"M1_one_state","state_occupancy",1,0,0,0,0,1,0,"sharp","pass_sharp",99,99,"","M1_one_state","M1 one-state SSF"
"M1_one_state","state_occupancy_total_variation",NA,0,0,0,0,1,0,"sharp","pass_sharp",99,99,"","M1_one_state","M1 one-state SSF"
"M1_one_state","state_residence_time",1,0,0,0,0,1,0,"sharp","low_power",99,99,"Too few observed residence bouts; low power.","M1_one_state","M1 one-state SSF"
"M1_one_state","switching_rate",NA,0,0,0,0,1,0,"sharp","pass_sharp",99,99,"","M1_one_state","M1 one-state SSF"
"M1_one_state","transition_counts",NA,0,0,0,0,1,0,"sharp","pass_sharp",99,99,"","M1_one_state","M1 one-state SSF"
"M1_one_state","state_conditioned_step_length",1,2.07129988649332,0.127415352757619,0.104572035289266,0.214688032979369,0.01,0.864228577362176,"moderate","fail",99,99,"","M1_one_state","M1 one-state SSF"
"M1_one_state","state_conditioned_turning_angle",1,0.0477130547492478,0.0264373514250689,0.00166472715731972,0.0710533683596737,0.17,0.695338027085914,"moderate","pass_moderate",99,99,"","M1_one_state","M1 one-state SSF"
"M1_one_state","state_conditioned_msd",1,21178.0886354549,272.519898118947,9.29446350333867,3882.25294791751,0.01,0.594426530267438,"moderate","fail",99,99,"","M1_one_state","M1 one-state SSF"
"M2_two_state_fixed","ud_wasserstein",NA,12.9940548217582,10.6857431336726,8.14108851213809,17.6947548792392,0.3,0.89405727225983,"moderate","pass_moderate",99,99,"","M2_two_state_fixed","M2 two-state fixed TPM"
"M2_two_state_fixed","msd",NA,34760.740727614,593.903482458636,20.177815907286,6668.1833253623,0.01,1.76658422196374,"diffuse","fail",99,99,"","M2_two_state_fixed","M2 two-state fixed TPM"
"M2_two_state_fixed","sinuosity",NA,0.10812900372775,0.0299943564332208,0.000592503766172564,0.12702609058356,0.05,2.05884475006159,"diffuse","pass_diffuse",99,99,"","M2_two_state_fixed","M2 two-state fixed TPM"
